Task Name,Category,Mood Tag,Estimated Time (min),Reward Trigger?
Stand barefoot in the grass,Mood Reset,Low Energy,5,Yes
Skim one article abstract,Academic,Neutral,5,No
Move clothes from dryer to bed,Home Task,Overwhelmed,3,Yes
Label one tile,Dashboard,Neutral,3,Yes
Fold the shirts/towels,Home Task,Neutral,7,No
Fold the washcloths/pants,Home Task,Neutral,7,No
Drink a glass of water,Wellness,Low Energy,2,Yes
Take a deep breath and stretch,Sensory Reset,Overstimulated,3,Yes
Update one citation note,Academic,Neutral,5,No
Voice-record a reflection,Emotional Expression,Low Energy,5,Yes
